id,jun,jul,ago,set,out,nov,dez,jan
2168594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6192.0
2170023,0.0,0.0,0.0,0.0,0.0,2000.0,16000.0,5000.0
2174158,850.0,8500.0,3400.0,5100.0,25500.0,20700.0,27350.0,36980.0
2177053,0.0,1200.0,1200.0,0.0,0.0,300.0,5900.0,2400.0
2177772,0.0,1200.0,1200.0,0.0,0.0,1800.0,5100.0,1900.0
2201377,0.0,1920.0,280.0,1760.0,2610.0,8370.0,10230.0,12740.0
2202427,0.0,0.0,0.0,0.0,0.0,0.0,2860.0,4015.0
2203552,0.0,0.0,10000.0,0.0,0.0,25000.0,58600.0,90900.0
2213850,0.0,0.0,0.0,0.0,0.0,550.0,8150.0,18315.0
2214217,3370.0,5800.0,5950.0,5060.0,4530.0,6700.0,8860.0,9530.0
2220700,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,12800.0
2220886,480.0,0.0,0.0,1500.0,2750.0,7000.0,12320.0,16450.0
2223263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2314313,210.0,0.0,2730.0,2730.0,0.0,1890.0,2390.0,4822.0
2353434,188.0,0.0,564.0,1128.0,1410.0,2632.0,5880.0,6485.0
2359601,0.0,0.0,199.0,597.0,0.0,749.0,3708.0,11030.0
2372183,297.0,129.0,0.0,0.0,2250.0,1950.0,3805.0,7900.0
2373578,2000.0,0.0,0.0,400.0,1400.0,0.0,3920.0,6800.0
2378346,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0
2383686,0.0,0.0,160.0,0.0,0.0,880.0,1360.0,2590.0
2385153,434.0,0.0,2132.0,1722.0,1804.0,1074.0,700.0,0.0
2389677,0.0,0.0,1820.0,420.0,0.0,1680.0,1560.0,5120.0
2389792,0.0,0.0,2210.0,2720.0,5100.0,4590.0,3970.0,3280.0
2390759,150.0,150.0,1350.0,750.0,4650.0,2850.0,0.0,1650.0
2393804,3900.0,1820.0,1300.0,0.0,4660.0,6890.0,9280.0,10176.0
2399397,0.0,0.0,1120.0,1280.0,720.0,2240.0,2580.0,3900.0
2399493,0.0,0.0,0.0,200.0,900.0,230.0,1150.0,2452.0
4045576,0.0,0.0,0.0,0.0,0.0,0.0,190.0,190.0
4047547,1450.0,4980.0,4010.0,5340.0,7380.0,10500.0,4680.0,12503.0
